"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10041974","London College of Business Sciences","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","5","5","0","0","15"
"10007788","The University of Cambridge","885","1,525","150","50","665","3,275"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","650","1,325","740","160","0","2,880"
"10007814","Cardiff University","1,560","2,595","730","100","270","5,255"
"10007854","Cardiff Metropolitan University","475","1,025","595","135","45","2,275"
"10007141","The University of Central Lancashire","1,235","1,710","945","300","250","4,445"
"10007848","University of Chester","645","1,220","680","130","0","2,675"
"10007137","The University of Chichester","210","720","300","50","20","1,300"
"10001386","Chicken Shed Theatre Company","10","10","5","5","0","25"
"10001546","The College of Integrated Chinese Medicine","0","20","15","0","0","35"
"10001419","Christie's Education Limited","0","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0","0"
"10001478","City, University of London","585","1,245","605","70","50","2,555"
"10007912","Cliff College","5","10","5","0","0","20"
"10013357","The Academy of Contemporary Music","110","125","70","15","20","340"
"10001653","Conservatoire for Dance and Drama","95","90","15","20","55","270"
"10007761","Courtauld Institute of Art","20","35","5","0","0","60"
"10034324","Court Theatre Training Company Ltd","5","10","0","0","0","20"
"10001726","Coventry University","1,845","3,135","1,355","215","160","6,710"
"10007822","Cranfield University","0","0","0","0","0","0"
"10006427","University for the Creative Arts","420","495","250","55","0","1,225"
"10007842","University of Cumbria","310","650","345","120","0","1,425"
"10001883","De Montfort University","1,570","2,325","1,000","290","60","5,250"
"10007851","University of Derby","850","1,305","845","285","20","3,305"
"10007852","The University of Dundee","380","700","255","30","775","2,145"
"10007143","University of Durham","1,315","2,125","250","45","5","3,735"
"10007789","The University of East Anglia","1,160","1,635","370","40","145","3,350"
"10007144","The University of East London","620","940","590","140","0","2,290"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","5","5","5","0","15"
"10007823","Edge Hill University","975","1,340","625","190","0","3,130"
"10007772","Edinburgh Napier University","355","970","380","45","860","2,610"
"10007790","The University of Edinburgh","1,315","2,420","415","30","645","4,825"
"10022047","Empire College London Limited","0","0","0","0","0","0"
"10007791","The University of Essex","805","1,440","685","85","5","3,025"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0"
"10008173","University College of Estate Management","20","60","55","10","0","145"
"10007792","The University of Exeter","1,520","2,935","525","85","115","5,180"
"10008640","Falmouth University","370","740","270","40","0","1,425"
"10033187","Fairfield School of Business Ltd","5","10","0","5","0","15"
"10045476","Met Film School Limited","10","45","20","0","0","75"
"10004511","The National Film and Television School","0","0","0","0","0","0"
"10038763","ForMission Ltd","0","10","10","15","0","40"
"10022087","Futureworks","50","40","25","5","0","120"
"10007762","Glasgow Caledonian University","520","1,350","450","30","940","3,285"
"10002681","Glasgow School of Art","85","155","75","40","5","360"
"10007794","The University of Glasgow","1,035","1,745","410","50","700","3,940"
"10007145","University of Gloucestershire","420","920","425","110","0","1,875"
"10007833","Glyndŵr University","230","340","190","50","20","830"
"10002718","Goldsmiths College","390","890","260","25","0","1,560"
"10030408","Gower College Swansea","0","0","0","0","0","0"
"10007146","The University of Greenwich","1,435","1,755","830","120","40","4,185"
"10007937","GSM London","45","260","485","175","25","985"
"10007825","Guildhall School of Music and Drama","55","90","10","0","5","160"
"10040812","Harper Adams University","85","230","100","10","45","470"
"10007764","Heriot-Watt University","415","695","240","65","235","1,650"
"10007147","University of Hertfordshire","1,035","2,020","1,195","465","0","4,715"
"10007765","Heythrop College","5","10","0","0","0","20"
"10007148","The University of Huddersfield","1,340","1,695","855","210","80","4,170"
"10007149","The University of Hull","740","1,555","785","180","65","3,325"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","1,060","1,000","195","20","330","2,605"
"10035638","Institute of Contemporary Music Performance","55","85","35","10","0","185"
"10029682","The Islamic College","0","5","0","0","0","5"
"10021682","Kaplan Open Learning","10","10","0","5","0","20"
"10007767","Keele University","470","935","420","65","110","2,005"
"10003566","Kensington College of Business","0","5","15","10","0","30"
"10007150","The University of Kent","1,145","2,295","780","130","0","4,345"
"10003645","King's College London","1,475","2,115","465","80","550","4,690"
"10008325","KLC School of Design","0","0","0","0","0","5"
"10003678","Kingston University","1,145","1,525","765","255","20","3,710"
"10007768","The University of Lancaster","835","1,360","520","75","60","2,850"
"10066551","LCCM AU UK Limited","15","45","5","0","0","65"
"10003854","Leeds Arts University","115","255","80","10","0","460"
"10003861","Leeds Beckett University","1,080","2,235","1,160","245","40","4,760"
"10007795","The University of Leeds","1,865","3,165","665","90","390","6,175"
"10003863","Leeds Trinity University","210","450","155","15","15","845"
"10007796","The University of Leicester","725","1,540","535","90","190","3,075"
"10007151","The University of Lincoln","805","1,620","625","190","45","3,285"
"10003956","Liverpool Hope University","210","535","310","40","0","1,095"
"10003957","Liverpool John Moores University","1,255","2,400","1,050","245","5","4,960"
"10003945","The Liverpool Institute for Performing Arts","80","130","10","5","0","230"
"10006842","The University of Liverpool","1,700","2,810","885","205","500","6,105"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","0","0"
"10007820","Grŵp Llandrillo Menai","25","30","15","5","20","95"
"10007162","University of the Arts, London","1,030","1,845","930","250","65","4,125"
"10004060","London School of Business and Finance (UK) Limited","0","0","0","0","5","5"
"10013109","London Bridge Business Academy","0","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0"
"10039082","City and Guilds of London Art School","20","10","5","0","0","30"
"10015506","The London College UCK","15","30","40","35","0","115"
"10004048","London Metropolitan University","550","680","535","255","0","2,025"
"10032594","London School of Academics Ltd","0","0","0","0","0","0"
"10004078","London South Bank University","770","1,065","675","125","55","2,685"
"10004063","London School of Economics and Political Science","490","830","110","30","0","1,460"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","0","0","0"
"10022285","London School of Management Education","0","0","0","0","0","0"
"10004075","London School of Theology","10","20","15","5","0","50"
"10022944","Stratford College London Limited","0","0","0","0","0","0"
"10004079","London Studio Centre","35","65","5","0","0","105"
"10000939","West London College","0","0","0","0","15","15"
"10008289","The London Institute of Banking & Finance","15","20","20","5","0","60"
"10004113","Loughborough University","960","1,650","465","40","0","3,115"
"10009612","Luther King House Educational Trust","0","5","0","0","0","5"
"10004180","The Manchester Metropolitan University","2,250","2,900","1,435","450","0","7,030"
"10007798","The University of Manchester","2,525","3,505","975","250","480","7,735"
"10009527","Istituto Marangoni Limited","40","75","35","0","0","150"
"10023452","The Markfield Institute of Higher Education","0","10","5","0","0","15"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","20","20"
"10020416","Mattersey Hall","0","10","5","5","0","15"
"10030776","St Mellitus College","5","55","25","0","0","85"
"10004320","The Metanoia Institute","5","15","5","0","0","25"
"10004351","Middlesex University","990","1,600","890","375","0","3,850"
"10004365","Millennium Performing Arts Ltd","10","10","0","0","0","20"
"10032277","The Minster Centre","0","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","20","70","5","0","0","95"
"10023777","Mont Rose College of Management and Sciences","5","20","65","80","0","170"
"10023454","Moorlands College","15","30","10","0","0","50"
"10000216","All Nations Christian College","5","10","0","0","0","15"
"10004538","Nazarene Theological College","0","10","0","5","0","15"
"10030129","Nelson College London Ltd","0","20","30","15","0","65"
"10007799","Newcastle University","1,110","2,580","690","160","305","4,845"
"10048199","New College of the Humanities","15","10","5","0","0","35"
"10007832","Newman University","95","215","150","50","0","510"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","0","0"
